,agency_name,ori
83,Orange Police Department,TX1810200
84,Indian Lake Police Department,TX0313300
85,Palo Pinto County Sheriff's Office,TX1820000
86,Itasca Police Department,TX1090300
87,Selma Police Department,TX0152200
88,Independent School District:,TX0110800
89,Brownfield Police Department,TX2230100
90,Murphy Police Department,TX0431800
91,Elsa Police Department,TX1080500
92,Ranger Police Department,TX0670400
93,Aubrey Police Department,TX0611400
94,Alvarado Police Department,TX1260100
95,Garza County Sheriff's Office,TX0850000
96,Hospital District: Dallas County,TX0575000
97,Desoto Police Department,TX0570800
98,Taft Police Department,TX2050500
99,Moulton Police Department,TX1431000
100,Mart Police Department,TX1550800
101,Ingram Police Department,TX1330500
102,Hartley County Sheriff's Office,TX1030000
103,Patton Village Police Department,TX1700800
104,Caney City Police Department,TX1070900
105,Granite Shoals Police Department,TX0270700
106,College Station Police Department,TX0210200
107,University of Texas: Tyler,TX2120900
108,Llano Police Department,TX1500100
109,Port Arthur Police Department,TX1230700
110,Jackson County Sheriff's Office,TX1200000
111,Euless Police Department,TX2200900
112,South Plains College,TX1100400
113,McKinney Police Department,TX0430500
114,Bell County Sheriff's Office,TX0140000
115,Ore City Police Department,TX2300300
116,Sherman Police Department,TX0910400
117,Brewster County Sheriff's Office,TX0220000
118,Marshall Police Department,TX1020200
119,Cuney Police Department,TX0371200
120,Cameron County Sheriff's Office,TX0310000
121,Gladewater Police Department,TX0920200
122,Crosbyton Police Department,TX0540100
123,Deer Park Police Department,TX1010400
124,Hopkins County Sheriff's Office,TX1120000
125,Nacogdoches County Sheriff's Office,TX1740000
126,University of Houston: Clearlake,TX1013900
127,Grimes County Sheriff's Office,TX0930000
128,Holland Police Department,TX0141100
129,Waxahachie Police Department,TX0701000
130,Jacksonville Police Department,TX0370100
131,Danbury Police Department,TX0200400
132,Randall County Sheriff's Office,TX1910000
133,Navarro County Sheriff's Office,TX1750000
134,Martin County Sheriff's Office,TX1590000
135,Winkler County Sheriff's Office,TX2480000
136,South Houston Police Department,TX1011900
137,Colleyville Police Department,TX2204000
138,Refugio Police Department,TX1960100
139,Gillespie County Sheriff's Office,TX0860000
140,Snyder Police Department,TX2080100
141,Jacksboro Police Department,TX1190100
142,Independent School District: Brownsville,TX0312400
143,Ward County Sheriff's Office,TX2380000
144,Independent School District: East Central,TX0153500
145,Poth Police Department,TX2470200
146,Orange County Sheriff's Office,TX1810000
147,Hallettsville Police Department,TX1430100
148,Galveston Police Department,TX0840400
149,Eastland Police Department,TX0670200
150,Seadrift Police Department,TX0290300
151,Hutto Police Department,TX2460400
152,Rusk County Sheriff's Office,TX2010000
153,Independent School District: Pasadena,TX1017200
154,Alice Police Department,TX1250100
155,Weimar Police Department,TX0450300
156,Ector County Sheriff's Office,TX0680000
157,Midland County Sheriff's Office,TX1650000
158,Hillsboro Police Department,TX1090100
159,Haskell County Sheriff's Office,TX1040000
160,Edcouch Police Department,TX1080300
161,Southern Methodist University,TX0575200
162,New Braunfels Police Department,TX0460100
163,Rio Bravo Police Department,TX2401000
164,Caddo Mills Police Department,TX1160700
165,Belton Police Department,TX0140200
166,Brazos County Sheriff's Office,TX0210000
167,Tatum Police Department,TX2011100
168,Sudan Police Department,TX1400500
169,Lorena Police Department,TX1550600
170,Denison Police Department,TX0910200
171,Riesel Police Department,TX1551700
172,Olmos Park Police Department,TX0151100
173,Nederland Police Department,TX1230500
174,Ganado Police Department,TX1200200
175,Sunset Valley Police Department,TX2271900
176,Runnels County Sheriff's Office,TX2000000
177,Lake Dallas Police Department,TX0610500
178,Weslaco Police Department,TX1081400
179,Ennis Police Department,TX0700100
180,Prosper Police Department,TX0430700
181,Combes Police Department,TX0310200
182,Venus Police Department,TX1261200
183,Hood County Sheriff's Office,TX1110000
184,Breckenridge Police Department,TX2150100
185,Prairie View  Police Department,TX2370800
186,Independent School District: Sealy,TX0080900
187,Gregg County Sheriff's Office,TX0920000
188,Galena Park Police Department,TX1010600
189,Camp County Sheriff's Office,TX0320000
190,Roma Police Department,TX2140300
191,Stinnett Police Department,TX1170500
192,Flatonia Police Department,TX0750800
193,Bexar County Sheriff's Office,TX0150000
194,Nacogdoches Police Department,TX1740200
195,Angleton Police Department,TX0200200
196,Paris Junior College,TX1390400
197,Zavala County Sheriff's Office,TX2540000
198,Independent School District: Edinburg,TX1082500
199,South Padre Island Police Department,TX0311300
200,Uvalde Police Department,TX2320100
201,University of Texas: Dallas,TX0572800
202,Hale County Sheriff's Office,TX0950000
203,Fairview Police Department,TX0432500
204,La Porte Police Department,TX1011300
205,Westover Hills Police Department,TX2202700
206,Mitchell County Sheriff's Office,TX1680000
207,Mount Pleasant Police Department,TX2250100
208,Glasscock County Sheriff's Office,TX0870000
209,Roanoke Police Department,TX0612900
210,Yoakum Police Department,TX1430300
211,Brooks County Sheriff's Office,TX0240000
212,Sabine County Sheriff's Office,TX2020000
213,Kemah Police Department,TX0840600
214,Eastland County Sheriff's Office,TX0670000
215,Memorial Villages Police Department,TX1012400
216,Hurst Police Department,TX2201600
217,Giddings Police Department,TX1440100
218,Lone Star College System District ,TX1015900
219,Willacy County Sheriff's Office,TX2450000
220,Mercedes Police Department,TX1080900
221,Independent School District: Corpus Christi,TX1781600
222,Crane Police Department,TX0520100
223,Allen Police Department,TX0430100
224,Killeen Police Department,TX0140400
225,Carrollton Police Department,TX0570400
226,Hockley County Sheriff's Office,TX1100000
227,Seven Points Police Department,TX1070500
228,Mont Belvieu Police Department,TX0360700
229,Clint Police Department,TX0711200
230,Needville Police Department,TX0790700
231,Blue Mound Police Department,TX2200500
232,Oldham County Sheriff's Office,TX1800000
233,San Diego Police Department,TX0660200
234,Sunrise Beach Village Police Department,TX1500500
235,Terrell Hills Police Department,TX0151300
236,Groves Police Department,TX1230300
237,Olney Police Department,TX2520200
238,Morris County Sheriff's Office,TX1720000
239,Pilot Point Police Department,TX0610700
240,Merkel Police Department,TX2210300
241,Port Aransas Police Department,TX1780500
242,Wallis Police Department,TX0080700
243,Deaf Smith County Sheriff's Office,TX0590000
244,Blanco County Sheriff's Office,TX0160000
245,Independent School District: Santa Fe,TX0842800
246,Zapata County Sheriff's Office,TX2530000
247,Shelby County Sheriff's Office,TX2100000
248,Jewett Police Department,TX1451000
249,Lake Jackson Police Department,TX0200800
250,Irving Police Department,TX0571500
251,Stagecoach Police Department,TX1701500
252,White Oak Police Department,TX0920600
253,Independent School District: Killeen,TX0141500
254,Waller Police Department,TX2370200
255,Anthony Police Department,TX0710100
256,Bogata Police Department,TX1940300
257,Independent School District:,TX1013500
258,Harris County Sheriff's Office,TX1010000
259,Schertz Police Department,TX0940200
260,Balcones Heights Police Department,TX0150200
261,Austin College,TX0911900
262,Paris Police Department,TX1390200
263,Idalou Police Department,TX1520100
264,Silsbee Police Department,TX1000200
265,Amarillo Police Department,TX1880100
266,Brookside Village Police Department,TX0201900
267,Sonora Police Department,TX2180100
268,Rockdale Police Department,TX1660200
269,Pasadena Police Department,TX1011500
270,San Augustine County Sheriff's Office,TX2030000
271,Borden County Sheriff's Office,TX0170000
272,Fair Oaks Ranch Police Department,TX0153900
273,White Settlement Police Department,TX2202900
274,Josephine,TX0432700
275,Mills County Sheriff's Office,TX1670000
276,Raymondville Police Department,TX2450200
277,Pineland Police Department,TX2020200
278,West University Place Police Department,TX1012600
279,Williamson County Sheriff's Office,TX2460000
280,Lakeside Police Department,TX2201800
281,Boyd Police Department,TX2490900
282,League City Police Department,TX0840800
283,Independent School District: Hallsville,TX1021300
284,La Villa Police Department,TX1080700
285,Martindale Police Department,TX0280900
286,Callahan County Sheriff's Office,TX0300000
287,Cockrell Hill Police Department,TX0570600
288,Horizon City Police Department,TX0711400
289,Harrison County Sheriff's Office,TX1020000
290,Iowa Park Police Department,TX2430400
291,Oak Ridge Police Department,TX0490800
292,Farmersville Police Department,TX0430300
293,Gun Barrel City Police Department,TX1070700
294,Sugar Land Police Department,TX0790500
295,Paducah Police Department,TX0510100
296,Beaumont Police Department,TX1230100
297,Texas A&M University: College Station,TX0210400
298,Greenville Police Department,TX1160300
299,Young County Sheriff's Office,TX2520000
300,Duval County Sheriff's Office,TX0660000
301,Windcrest Police Department,TX0151500
302,Dalworthington Gardens Police Department,TX2200700
303,Briscoe County Sheriff's Office,TX0230000
304,Lone Star Police Department,TX1720200
305,Midlothian Police Department,TX0700500
306,Palestine Police Department,TX0010100
307,Big Sandy Police Department,TX2300100
308,Jamaica Beach Police Department,TX0841900
309,Cactus Police Department,TX1710400
310,Whitesboro Police Department,TX0910600
311,Sul Ross State University,TX0220200
312,Johnson City Police Department,TX0160200
313,Lancaster Police Department,TX0571700
314,Motley County Sheriff's Office,TX1730000
315,Kendall County Sheriff's Office,TX1300000
316,Independent School District: Fort Bend,TX0791600
317,Kilgore Police Department,TX0920400
318,Childress Police Department,TX0380100
319,Clarksville Police Department,TX1940100
320,Troy Police Department,TX0141700
321,Bellaire Police Department,TX1010200
322,Goliad County Sheriff's Office,TX0880000
323,Montgomery Police Department,TX1701700
324,Quinlan Police Department,TX1161400
325,Dublin Police Department,TX0720100
326,Mineola Police Department,TX2500300
327,Knox City Police Department,TX1380200
328,Rusk Police Department,TX0370300
329,Guadalupe County Sheriff's Office,TX0940000
330,Borger Police Department,TX1170100
331,Lamar County Sheriff's Office,TX1390000
332,Independent School District: Weslaco,TX1082900
333,Eagle Pass Police Department,TX1620100
334,Plainview Police Department,TX0950400
335,Independent School District: Athens,TX1072300
336,Hudson Oaks Police Department,TX1840400
337,Texas A&M University: Kingsville,TX1370300
338,Denver City Police Department,TX2510100
339,University Park Police Department,TX0572400
340,Primera Police Department,TX0310700
341,Smith County Sheriff's Office,TX2120000
342,Cleveland Police Department,TX1460100
343,River Oaks Police Department,TX2202300
344,Victoria Police Department,TX2350100
345,Gainesville Police Department,TX0490100
346,Lakeview Police Department,TX1016600
347,Lott Police Department,TX0730100
348,Central Texas College,TX0140900
349,Estelline Police Department,TX0960200
350,Friona Police Department,TX1850200
351,Brackettville Police Department,TX1360500
352,Sullivan City Police Department,TX1083200
353,Burleson County Sheriff's Office,TX0260000
354,Reno Police Department,TX1391000
355,Independent School District: Alvin,TX0203200
356,Hudspeth County Sheriff's Office,TX1150000
357,Grand Saline Police Department,TX2340300
358,Independent School District: Kaufman,TX1291500
359,Bastrop County Sheriff's Office,TX0110000
360,Hamilton County Sheriff's Office,TX0970000
361,Texas Tech University: Lubbock,TX1520600
362,North Lake College,TX0573500
363,Garden Ridge Police Department,TX0460700
364,Andrews Police Department,TX0020100
365,Brownwood Police Department,TX0250200
366,Fort Worth Police Department,TX2201200
367,Independent School District: Calhoun County,TX0290900
368,Travis County Sheriff's Office,TX2270000
369,Coleman County Sheriff's Office,TX0420000
370,Quitman Police Department,TX2500400
371,Hill Country Village Police Department,TX0150700
372,Southside Place Police Department,TX1012000
373,Copperas Cove Police Department,TX0500100
374,Happy Police Department,TX2190100
375,Socorro Police Department,TX0711600
376,Lavon Police Department,TX0432000
377,Montgomery County Sheriff's Office,TX1700000
378,Clifton Police Department,TX0180100
379,Athens Police Department,TX1070100
380,Frankston Police Department,TX0010300
381,Rosenberg Police Department,TX0790300
382,Frio County Sheriff's Office,TX0820000
383,University of Houston: Downtown Campus,TX1014200
384,Arlington Police Department,TX2200100
385,Palmer Police Department,TX0700700
386,McLennan County Sheriff's Office,TX1550000
387,San Augustine Police Department,TX2030100
388,La Vernia Police Department,TX2470700
389,Electra Police Department,TX2430200
390,Dallas County Sheriff's Office,TX0570000
391,Muleshoe Police Department,TX0090100
392,Cedar Park Police Department,TX2460900
393,Horseshoe Bay Police Department,TX0271100
394,Fulshear,TX0791400
395,Fulton Police Department,TX0041000
396,Dallas-Fort Worth International Airport,TX2203600
397,Independent School District: Austin,TX2272400
398,Robinson Police Department,TX1551100
399,Cibolo Police Department,TX0940600
400,Sweetwater Police Department,TX1770300
401,Texas City Police Department,TX0840900
402,Teague Police Department,TX0810200
403,Garland Police Department,TX0571100
404,Bishop Police Department,TX1780100
405,Nocona Police Department,TX1690200
406,Kingsville Police Department,TX1370100
407,Collin County Sheriff's Office,TX0430000
408,University of Texas: Southwestern Medical School,TX0572600
409,San Benito Police Department,TX0310900
410,Hale Center Police Department,TX0950200
411,Hunt County Sheriff's Office,TX1160000
412,Independent School District: Hempstead,TX2371000
413,Dayton Police Department,TX1460300
414,Independent School District: Galveston,TX0843100
415,Rosebud Police Department,TX0730300
416,Sansom Park Village Police Department,TX2202500
417,Penitas Police Department,TX1083000
418,Jacinto City Police Department,TX1011100
419,Castroville Police Department,TX1630100
420,Hall County Sheriff's Office,TX0960000
421,Bandera County Sheriff's Office,TX0100000
422,Parmer County Sheriff's Office,TX1850000
423,Wills Point Police Department,TX2340500
424,New Deal Police Department,TX1521500
425,Bonham Police Department,TX0740100
426,Diboll Police Department,TX0030100
427,Lamar University: Beaumont,TX1231000
428,Rose City Police Department,TX1810800
429,Wilbarger County Sheriff's Office,TX2440000
430,Haltom City Police Department,TX2201400
431,Independent School District: Ector County,TX0680800
432,University of Texas: Rio Grande Valley,TX1084100
433,Houston Metropolitan Transit Authority,TX1015700
434,Tulia Police Department,TX2190300
435,Brown County Sheriff's Office,TX0250000
436,Santa Anna Police Department,TX0420200
437,Huntsville Police Department,TX2360100
438,Slaton Police Department,TX1520400
439,Kirby Police Department,TX0150900
440,Gonzales Police Department,TX0890100
441,Abilene Police Department,TX2210100
442,Timpson Police Department,TX2101300
443,Balch Springs Police Department,TX0570200
444,Tom Green County Sheriff's Office,TX2260000
445,De Kalb Police Department,TX0190100
446,Tahoka Police Department,TX1530200
447,Bedford Police Department,TX2200300
448,Kaufman Police Department,TX1290200
449,Lakeway Police Department,TX2271100
450,University of North Texas: Health Science Center,TX2204900
451,Missouri City Police Department,TX0790100
452,Moore County Sheriff's Office,TX1710000
453,Wichita County Sheriff's Office,TX2430000
454,McCulloch County Sheriff's Office,TX1540000
455,Robstown Police Department,TX1780300
456,Jasper Police Department,TX1210100
457,Highland Park Police Department,TX0571300
458,Pecos County Sheriff's Office,TX1860000
459,Dawson County Sheriff's Office,TX0580000
460,Kyle Police Department,TX1050700
461,Texas Southern University,TX1013300
462,Bellville Police Department,TX0080100
463,Ponder Police Department,TX0613200
464,Arcola Police Department,TX0791200
465,Jonestown Police Department,TX2272200
466,Sherman County Sheriff's Office,TX2110000
467,Texas A&M International University,TX2400600
468,Freestone County Sheriff's Office,TX0810000
469,Poteet Police Department,TX0070300
470,Montague County Sheriff's Office,TX1690000
471,Hardin County Sheriff's Office,TX1000000
472,Trinity University,TX015319E
473,Buda Police Department,TX1051200
474,Marble Falls Police Department,TX0270200
475,Parker County Sheriff's Office,TX1840000
476,Independent School District: Conroe,TX1702000
477,Thrall Police Department,TX2461800
478,Independent School District: Alief,TX1016200
479,Comanche Police Department,TX0470100
480,Perryton Police Department,TX1790100
481,Collinsville Police Department,TX0910100
482,Aransas Pass Police Department,TX0040100
483,Hardin-Simmons University,TX221109E
484,Lampasas County Sheriff's Office,TX1410000
485,Richardson Police Department,TX0572000
486,Harlingen Police Department,TX0310300
487,Tyler Police Department,TX2120400
488,Yorktown Police Department,TX0620300
489,Humble Police Department,TX1010900
490,La Grange Police Department,TX0750100
491,Pittsburg Police Department,TX0320100
492,Tyler County Sheriff's Office,TX2290000
493,Texas Woman's University,TX0611000
494,Bruceville-Eddy Police Department,TX1552600
495,West Lake Hills Police Department,TX2270400
496,Starr County Sheriff's Office,TX2140000
497,Alamo Police Department,TX1080100
498,Texas State Technical College: Harlingen,TX0311400
499,Bullard Police Department,TX2121500
500,Spearman Police Department,TX0980200
501,Spur Police Department,TX0630100
502,Alvin Police Department,TX0200100
503,Dimmitt Police Department,TX0350100
504,Crowell Police Department,TX0780100
505,Kermit Police Department,TX2480100
506,Ingleside Police Department,TX2050100
507,Nash Police Department,TX0190300
508,Wheeler County Sheriff's Office,TX2420000
509,Kaufman County Sheriff's Office,TX1290000
510,Hewitt Police Department,TX1550400
511,Tom Bean Police Department,TX0912300
512,Linden Police Department,TX0340300
513,Seminole Police Department,TX0830200
514,Kerrville Police Department,TX1330100
515,Newton,TX1760100
516,Princeton Police Department,TX0430900
517,Kenedy Police Department,TX1280200
518,Sweeny Police Department,TX0201200
519,Royse City Police Department,TX1990200
520,San Marcos Police Department,TX1050100
521,Independent School District: Aldine,TX1017300
522,Southlake Police Department,TX2203200
523,Round Rock Police Department,TX2460500
524,Stamford Police Department,TX1270400
525,Howard County Sheriff's Office,TX1140000
526,Del Rio Police Department,TX2330100
527,Independent School District: Barbers Hill,TX0361000
528,Bloomburg Police Department,TX0341400
529,Madison County Sheriff's Office,TX1570000
530,Alton Police Department,TX1082300
531,Wharton Police Department,TX2410200
532,Mexia Police Department,TX1470300
533,Los Indios,TX0313800
534,Keene Police Department,TX1260600
535,Orange Grove Police Department,TX1250800
536,Lytle Police Department,TX0070100
537,Archer City Police Department,TX0050100
538,Somervell County Sheriff's Office,TX2130000
539,Burnet County Sheriff's Office,TX0270000
540,Independent School District: Cedar Hill,TX0576800
541,Panola County Sheriff's Office,TX1830000
542,North Richland Hills Police Department,TX2202100
543,Lamb County Sheriff's Office,TX1400000
544,Seagoville Police Department,TX0572200
545,Los Fresnos Police Department,TX0310500
546,Lindale Police Department,TX2120200
547,Trenton Police Department,TX0740500
548,Somerville Police Department,TX0260200
549,Canton Police Department,TX2340100
550,Normangee Police Department,TX1450900
551,Corinth Police Department,TX0612300
552,Tool Police Department,TX1071000
553,Galveston County Sheriff's Office,TX0840000
554,Elgin Police Department,TX0110200
555,Hico Police Department,TX0970200
556,Trinity County Sheriff's Office,TX2280000
557,Independent School District: Taft,TX2051600
558,Coke County Sheriff's Office,TX0410000
559,Lorenzo Police Department,TX0540200
560,Wolfforth Police Department,TX1520800
561,Independent School District: Judson,TX0152000
562,Everman Police Department,TX2201000
563,University of Texas: Permian Basin,TX0680400
564,Cuero Police Department,TX0620100
565,Vidor Police Department,TX1810400
566,Schulenburg Police Department,TX0750300
567,Bay City Police Department,TX1610100
568,Culberson County Sheriff's Office,TX0550000
569,Manor Police Department,TX2270200
570,Baylor County Sheriff's Office,TX0120000
571,Howe Police Department,TX0911000
572,Rowlett Police Department,TX0573300
573,Mineral Wells Police Department,TX1820200
574,Bridgeport Police Department,TX2490100
575,Hansford County Sheriff's Office,TX0980000
576,San Saba Police Department,TX2060100
577,Flower Mound Police Department,TX0611200
578,Panhandle Police Department,TX0330100
579,East Mountain Police Department,TX2300900
580,Texarkana Police Department,TX0190500
581,Bee County Sheriff's Office,TX0130000
582,Hardeman County Sheriff's Office,TX0990000
583,Laguna Vista Police Department,TX0312900
584,Dallam County Sheriff's Office,TX0560000
585,Portland Police Department,TX2050300
586,Atlanta Police Department,TX0340100
587,Beverly Hills Police Department,TX1550200
588,Three Rivers Police Department,TX1490100
589,Calvert Police Department,TX1980200
590,Mission Police Department,TX1081000
591,Cochran County Sheriff's Office,TX0400000
592,Tioga Police Department,TX0912100
593,Karnes County Sheriff's Office,TX1280000
594,Mountain View College,TX0574400
595,Gaines County Sheriff's Office,TX0830000
596,Argyle Police Department,TX0610100
597,Pearland Police Department,TX0201000
598,Houston County Sheriff's Office,TX1130000
599,Texas State University: San Marcos,TX1050300
600,Bayou Vista Police Department,TX0842200
601,McMullen County Sheriff's Office,TX1560000
602,Rockwall County Sheriff's Office,TX1990000
603,Independent School District: Raymondville,TX2450900
604,Junction Police Department,TX1340100
605,Hamlin Police Department,TX1270200
606,West Police Department,TX1551300
607,Natalia,TX1631000
608,Sulphur Springs Police Department,TX1120200
609,Wharton County Sheriff's Office,TX2410000
610,Caldwell County Sheriff's Office,TX0280000
611,Ovilla Police Department,TX0575500
612,Independent School District: Laredo,TX2401100
613,Bertram Police Department,TX0270600
614,Texas A&M University: Commerce,TX1160600
615,Duncanville Police Department,TX0570900
616,Baird Police Department,TX0300100
617,Wake Village Police Department,TX0190600
618,Leon Valley Police Department,TX0151000
619,McGregor Police Department,TX1550700
620,Meridian Police Department,TX0180800
621,Port Neches Police Department,TX1230800
622,Naples Police Department,TX1720500
623,Texas State Technical College: Waco,TX1551800
624,Ballinger Police Department,TX2000100
625,University of Texas: Pan American,TX1081700
626,Ellis County Sheriff's Office,TX0700000
627,Plano Police Department,TX0430600
628,Godley Police Department,TX1261300
629,Denton Police Department,TX0610200
630,Granbury Police Department,TX1110100
631,Van Alstyne Police Department,TX0910500
632,Alpine Police Department,TX0220100
633,Tyler Junior College,TX2120800
634,Crosby County Sheriff's Office,TX0540000
635,Hospital District: Tarrant County,TX2205000
636,Childress County Sheriff's Office,TX0380000
637,Jarrell Police Department,TX2462500
638,Loving County Sheriff's Office,TX1510000
639,Floydada Police Department,TX0770100
640,Navasota Police Department,TX0930100
641,King County Sheriff's Office,TX1350000
642,Freeport Police Department,TX0200500
643,Uvalde County Sheriff's Office,TX2320000
644,Bartonville Police Department,TX0613700
645,Santa Rosa Police Department,TX0311000
646,Independent School District: Tyler,TX2121900
647,Amarillo College,TX1880200
648,Texas A&M University: Central Texas,TX0142300
649,Scurry County Sheriff's Office,TX2080000
650,Robertson County Sheriff's Office,TX1980000
651,Jack County Sheriff's Office,TX1190000
652,Monahans Police Department,TX2380100
653,Presidio County Sheriff's Office,TX1890000
654,Webb County Sheriff's Office,TX2400000
655,Calhoun County Sheriff's Office,TX0290000
656,Terry County Sheriff's Office,TX2230000
657,Lake City Police Department,TX2051700
658,Alamo Community College District,TX0152100
659,Corrigan Police Department,TX1870400
660,La Salle County Sheriff's Office,TX1420000
661,Eagle Lake Police Department,TX0450200
662,Pinehurst Police Department,TX1810300
663,Katy Police Department,TX1012700
664,Florence Police Department,TX2460100
665,Jones County Sheriff's Office,TX1270000
666,Luling Police Department,TX0280200
667,Port of Brownsville,TX0313400
668,Hubbard Police Department,TX1090200
669,Edinburg Police Department,TX1080400
670,Rising Star Police Department,TX0670500
671,Midland Police Department,TX1650100
672,Melissa Police Department,TX0431700
673,Jones Creek Police Department,TX0202700
674,Burleson Police Department,TX1260200
675,Comal County Sheriff's Office,TX0460000
676,The Colony Police Department,TX0611500
677,Pflugerville Police Department,TX2270900
678,Midwestern State University,TX2430700
679,Hooks Police Department,TX0190800
680,Crandall Police Department,TX1290900
681,Clyde Police Department,TX0300300
682,Harker Heights Police Department,TX0140300
683,Gregory Police Department,TX2050800
684,Department of Public Safety,TX0000000
685,Levelland Police Department,TX1100100
686,Olton Police Department,TX1400400
687,Independent School District: Klein,TX1016000
688,Lacoste Police Department,TX1630900
689,Lacy-Lakeview Police Department,TX1550500
690,El Paso Community College,TX0711100
691,Bryan Police Department,TX0210100
692,Llano County Sheriff's Office,TX1500000
693,Pottsboro Police Department,TX0910300
694,Edna Police Department,TX1200100
695,Crockett County Sheriff's Office,TX0530000
696,Shavano Park Police Department,TX0151200
697,Tye Police Department,TX2210800
698,La Joya Police Department,TX1081500
699,Ferris Police Department,TX0700200
700,Wylie Police Department,TX0430800
701,Brownsville Police Department,TX0310100
702,Stephens County Sheriff's Office,TX2150000
703,Hempstead Police Department,TX2370700
704,Lumberton Police Department,TX1000900
705,Madisonville Police Department,TX1570100
706,El Paso County Sheriff's Office,TX0710000
707,McLennan Community College,TX1551600
708,Val Verde County Sheriff's Office,TX2330000
709,Alamo Heights Police Department,TX0150100
710,Rio Grande City Police Department,TX2140200
711,Crystal City Police Department,TX2540100
712,Clute Police Department,TX0200300
713,Northlake Police Department,TX0613900
714,Cherokee County Sheriff's Office,TX0370000
715,Canyon Police Department,TX1910100
716,University of Texas: Brownsville,TX0311200
717,Sabinal Police Department,TX2320200
718,Shackelford County Sheriff's Office,TX2090000
719,Roberts County Sheriff's Office,TX1970000
720,Corsicana Police Department,TX1750100
721,Shoreacres Police Department,TX1011800
722,Comanche County Sheriff's Office,TX0470000
723,Sterling County Sheriff's Office,TX2160000
724,Palm Valley Police Department,TX0312500
725,Jefferson Police Department,TX1580100
726,West Columbia Police Department,TX0201400
727,Hickory Creek Police Department,TX0612800
728,Floresville Police Department,TX2470100
729,Bridge City Police Department,TX1810100
730,Lavaca County Sheriff's Office,TX1430000
731,Friendswood Police Department,TX0840300
732,Independent School District:,TX1073000
733,Port Lavaca Police Department,TX0290200
734,Mason County Sheriff's Office,TX1600000
735,Independent School District: Spring,TX1017100
736,University of Texas: Houston,TX1012900
737,Keller Police Department,TX2203000
738,Granger Police Department,TX2460300
739,Independent School District: Socorro,TX0712200
740,Premont Police Department,TX1250200
741,Donna Police Department,TX1080200
742,Somerset Police Department,TX0152300
743,Hill County Sheriff's Office,TX1090000
744,Gorman Police Department,TX0670300
745,Haskell Police Department,TX1040100
746,Parker Police Department,TX0431900
747,Baylor Health Care System,TX0575100
748,Johnson County Sheriff's Office,TX1260000
